Region (Hex): 0x187aa000000, Region (Decimal): 1682184339456, L2 Misses: 172
Region (Hex): 0x18798000000, Region (Decimal): 1681882349568, L2 Misses: 140
Region (Hex): 0x187aa200000, Region (Decimal): 1682186436608, L2 Misses: 76
Region (Hex): 0x187b7e00000, Region (Decimal): 1682417123328, L2 Misses: 85
Region (Hex): 0x187a4000000, Region (Decimal): 1682083676160, L2 Misses: 100
Region (Hex): 0x187a7600000, Region (Decimal): 1682140299264, L2 Misses: 57
Region (Hex): 0x187b0c00000, Region (Decimal): 1682297585664, L2 Misses: 27
Region (Hex): 0x1878a600000, Region (Decimal): 1681653760000, L2 Misses: 39
Region (Hex): 0x187b5e00000, Region (Decimal): 1682383568896, L2 Misses: 51
Region (Hex): 0x187b3e00000, Region (Decimal): 1682350014464, L2 Misses: 54
Region (Hex): 0x1878ec00000, Region (Decimal): 1681727160320, L2 Misses: 114
Region (Hex): 0x187b6a00000, Region (Decimal): 1682396151808, L2 Misses: 88
Region (Hex): 0x1878f200000, Region (Decimal): 1681733451776, L2 Misses: 85
Region (Hex): 0x1879da00000, Region (Decimal): 1681976721408, L2 Misses: 109
Region (Hex): 0x187ad600000, Region (Decimal): 1682240962560, L2 Misses: 108
Region (Hex): 0x1878d800000, Region (Decimal): 1681706188800, L2 Misses: 85
Region (Hex): 0x1879c200000, Region (Decimal): 1681951555584, L2 Misses: 90
Region (Hex): 0x18788600000, Region (Decimal): 1681620205568, L2 Misses: 31
Region (Hex): 0x18780200000, Region (Decimal): 1681481793536, L2 Misses: 23
Region (Hex): 0x18784200000, Region (Decimal): 1681548902400, L2 Misses: 107
Region (Hex): 0x18786000000, Region (Decimal): 1681580359680, L2 Misses: 73
Region (Hex): 0x187b6200000, Region (Decimal): 1682387763200, L2 Misses: 135
Region (Hex): 0x187a8a00000, Region (Decimal): 1682161270784, L2 Misses: 70
Region (Hex): 0x187a2c00000, Region (Decimal): 1682062704640, L2 Misses: 87
Region (Hex): 0x187a9a00000, Region (Decimal): 1682178048000, L2 Misses: 17
